username,timeSubmitted,items,approver,status,receipts
dcamollia,"April 10, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,pending,[]
lbeachb,"October 17, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
zrenggerc,"August 10, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
kguirardind,"August 27, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
khubbacke,"March 19, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
echattertonf,"September 24, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,approved,[]
hpavieg,"November 28, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,denied,[]
bferronierh,"May 26, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,denied,[]
dsappi,"December 27, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
mgowersj,"September 11, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
labdiek,"July 26, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
bdorotl,"November 19, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
hthallerm,"November 10, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
afairrien,"October 20, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
esedgwicko,"February 27, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
vespinozap,"November 17, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
vostq,"July 2, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
cpettingerr,"November 27, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
lcoltens,"September 1, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
dkahlert,"March 6, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
kkelcheru,"October 21, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
gboothroydv,"June 21, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
dtampinw,"August 7, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
acleavelandx,"May 14, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,denied,[]
bstubbey,"January 29, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,denied,[]
cgapperz,"February 26, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,denied,[]
sbeed10,"August 20, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,approved,[]
mgrishanin11,"May 19, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
tviner12,"August 13, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
scorhard13,"March 30, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
acino14,"April 18, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,pending,[]
gchallenor15,"April 1, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
ptilford16,"January 19, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
wscriver17,"December 27, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,pending,[]
jiacomettii18,"May 10, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,pending,[]
mmembry19,"March 22, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
rweldrick1a,"June 19, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
thasselby1b,"August 15, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
flooney1c,"June 21, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
igalbraeth1d,"May 28, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
darnall1e,"July 10, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
sdowell1f,"July 14, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
fgracey1g,"December 20, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
asalaman1h,"December 8, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
etreffrey1i,"March 1, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,pending,[]
shecks1j,"July 6, 2017","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
pcarruthers1k,"May 13, 2014","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
abalaisot1l,"August 31, 2016","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""},{""title"":""Enhanced local database"",""amount"":277.71,""description"":""Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."",""timeOfExpense"":""October 18, 2014""}]",,approved,[]
lgovey1m,"February 7, 2015","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""},{""title"":""Future-proofed object-oriented adapter"",""amount"":142.74,""description"":""Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."",""timeOfExpense"":""August 21, 2016""}]",,approved,[]
canders1n,"March 18, 2018","[{""title"":""Persistent needs-based process improvement"",""amount"":325.68,""description"":""Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."",""timeOfExpense"":""November 26, 2015""}]",,denied,[]
